Champion,Skin,Votes
Aatrox,Classic,44
Aatrox,Justicar,73
Aatrox,Mecha,312
Aatrox,Sea Hunter,35
Aatrox,Blood Moon,331
Aatrox,Prestige Blood Moon,580
Aatrox,Victorious,34
Aatrox,Odyssey,83
Aatrox,Lunar Eclipse,194
Ahri,Classic,23
Ahri,Dynasty,9
Ahri,Midnight,32
Ahri,Foxfire,50
Ahri,Popstar,49
Ahri,Challenger,21
Ahri,Academy,8
Ahri,Arcade,36
Ahri,Star Guardian,112
Ahri,K/DA,34
Ahri,Prestige K/DA,54
Ahri,Elderwood,78
Ahri,Spirit Blossom,748
Ahri,K/DA ALL OUT,90
Ahri,Coven,123
Ahri,Arcana,70
Akali,Classic,13
Akali,Stinger,7
Akali,Infernal,37
Akali,All-star,3
Akali,Nurse,26
Akali,Blood Moon,67
Akali,Silverfang,28
Akali,Headhunter,13
Akali,Sashimi,17
Akali,K/DA,92
Akali,Prestige K/DA,173
Akali,PROJECT,55
Akali,True Damage,92
Akali,K/DA ALL OUT,100
Akali,Crime City Nightmare,30
Akali,Star Guardian,329
Akshan,Classic,114
Akshan,Cyber Pop,111
Akshan,Crystal Rose,218
Alistar,Classic,2
Alistar,Black,30
Alistar,Golden,3
Alistar,Matador,5
Alistar,Longhorn,6
Alistar,Unchained,3
Alistar,Infernal,6
Alistar,Sweeper,2
Alistar,Marauder,8
Alistar,SKT T1,9
Alistar,Moo Cow,394
Alistar,Hextech,14
Alistar,Conqueror,8
Alistar,Blackfrost,51
Alistar,Lunar Beast,20
Amumu,Classic,4
Amumu,Pharaoh,9
Amumu,Vancouver,12
Amumu,Emumu,17
Amumu,Re-Gifted,16
Amumu,Almost-Prom King,7
Amumu,Little Knight,17
Amumu,Sad Robot,26
Amumu,Surprise Party,83
Amumu,Infernal,78
Amumu,Hextech,21
Amumu,Pumpkin Prince,60
Amumu,Porcelain,107
Amumu,Heartache,4
Anivia,Classic,2
Anivia,Team Spirit,15
Anivia,Bird of Prey,1
Anivia,Noxus Hunter,1
Anivia,Hextech,4
Anivia,Blackfrost,119
Anivia,Prehistoric,7
Anivia,Festival Queen,32
Anivia,Papercraft,149
Anivia,Cosmic Flight,35
Anivia,Divine Phoenix,90
Anivia,Bewitching Batnivia,41
Annie,Classic,0
Annie,Goth,32
Annie,Red Riding,12
Annie,Annie in Wonderland,27
Annie,Prom Queen,2
Annie,Frostfire,22
Annie,Reverse,30
Annie,FrankenTibbers,11
Annie,Panda,39
Annie,Sweetheart,6
Annie,Hextech,22
Annie,Super Galaxy,35
Annie,Annie-Versary,91
Annie,Lunar Beast,25
Annie,Cafe Cuties,63
Annie,Fright Night,95
Aphelios,Classic,12
Aphelios,Nightbringer,72
Aphelios,Lunar Beast,100
Aphelios,EDG,228
Aphelios,Spirit Blossom,246
Ashe,Classic,1
Ashe,Freljord,3
Ashe,Sherwood Forest,1
Ashe,Woad,5
Ashe,Queen,3
Ashe,Amethyst,6
Ashe,Heartseeker,15
Ashe,Marauder,0
Ashe,PROJECT,248
Ashe,Championship,18
Ashe,Cosmic Queen,22
Ashe,High Noon,448
Ashe,Fae Dragon,76
Ashe,Coven,32
Ashe,Ocean Song,25
Ashe,Lunar Empress,15
Aurelion Sol,Classic,71
Aurelion Sol,Ashen Lord,60
Aurelion Sol,Mecha,69
Aurelion Sol,Storm Dragon,398
Azir,Classic,40
Azir,Galactic,10
Azir,Gravelord,63
Azir,SKT T1,22
Azir,Warring Kingdoms,151
Azir,Elderwood,140
Azir,Worlds 2020,88
Bard,Classic,8
Bard,Elderwood,66
Bard,Snow Day,206
Bard,Bard Bard,88
Bard,Astronaut,169
Bard,Cafe Cuties,98
Bel'Veth,Classic,169
Bel'Veth,Battle Boss,116
Blitzcrank,Classic,4
Blitzcrank,Rusty,10
Blitzcrank,Goalkeeper,9
Blitzcrank,Boom Boom,24
Blitzcrank,Piltover Customs,35
Blitzcrank,Definitely Not,70
Blitzcrank,iBlitzcrank,71
Blitzcrank,Riot,15
Blitzcrank,Battle Boss,11
Blitzcrank,Lancer Rogue,10
Blitzcrank,Lancer Paragon,19
Blitzcrank,Witch's Brew,22
Blitzcrank,Space Groove Blitz & Crank,259
Blitzcrank,Victorious,2
Blitzcrank,Zenith Games,5
Brand,Classic,4
Brand,Apocalyptic,1
Brand,Vandal,2
Brand,Cryocore,6
Brand,Zombie,212
Brand,Spirit Fire,34
Brand,Battle Boss,34
Brand,Arclight,30
Brand,Eternal Dragon,52
Brand,Debonair,12
Brand,Prestige Debonair,21
Braum,Classic,2
Braum,Dragonslayer,52
Braum,El Tigre,24
Braum,Lionheart,7
Braum,Santa,128
Braum,Crime City,74
Braum,Sugar Rush,30
Braum,Pool Party,55
Caitlyn,Classic,3
Caitlyn,Resistance,9
Caitlyn,Sheriff,23
Caitlyn,Safari,10
Caitlyn,Arctic Warfare,19
Caitlyn,Officer,20
Caitlyn,Headhunter,16
Caitlyn,Lunar Wraith,30
Caitlyn,Pulsefire,140
Caitlyn,Pool Party,172
Caitlyn,Arcade,20
Caitlyn,Prestige Arcade,29
Caitlyn,Battle Academia,252
Caitlyn,Arcane Caitlyn,48
Caitlyn,Snow Moon Caitlyn,105
Caitlyn,Heartthrob,60
Camille,Classic,14
Camille,Program,48
Camille,Coven,128
Camille,iG,182
Camille,Arcana,121
Camille,Strike Commander,28
Cassiopeia,Classic,3
Cassiopeia,Desperada,5
Cassiopeia,Siren,2
Cassiopeia,Mythic,3
Cassiopeia,Jade Fang,10
Cassiopeia,Eternum,31
Cassiopeia,Spirit Blossom,233
Cassiopeia,Coven,58
Cassiopeia,Bewitching,27
Cho'Gath,Classic,4
Cho'Gath,Nightmare,8
Cho'Gath,Gentleman,172
Cho'Gath,Loch Ness,7
Cho'Gath,Jurassic,16
Cho'Gath,Battlecast Prime,62
Cho'Gath,Prehistoric,6
Cho'Gath,Dark Star,145
Cho'Gath,Shan Hai Scrolls,80
Cho'Gath,Broken Covenant,166
Corki,Classic,1
Corki,UFO,17
Corki,Ice Toboggan,44
Corki,Red Baron,26
Corki,Hot Rod,0
Corki,Urfrider,25
Corki,Dragonwing,13
Corki,Fnatic,5
Corki,Arcade,41
Corki,Corgi,203
Corki,Astronaut,35
Darius,Classic,2
Darius,Lord Darius,3
Darius,Bioforge,3
Darius,Woad King,12
Darius,Dunkmaster,146
Darius,Academy,2
Darius,Dreadnova,7
Darius,God-King,282
Darius,High Noon,19
Darius,Lunar Beast,9
Darius,Crime City Nightmare,5
Darius,Spirit Blossom,20
Diana,Classic,3
Diana,Dark Valkyrie,5
Diana,Lunar Goddess,19
Diana,Infernal,7
Diana,Blood Moon,38
Diana,Dark Waters,27
Diana,Dragonslayer,17
Diana,Battle Queen,37
Diana,Prestige Battle Queen,63
Diana,Sentinel,64
Diana,Firecracker,13
Diana,Winterblessed,310
Dr. Mundo,Classic,2
Dr. Mundo,Toxic,6
Dr. Mundo,Mr. Mundoverse,11
Dr. Mundo,Corporate,451
Dr. Mundo,Mundo Mundo,16
Dr. Mundo,Executioner,4
Dr. Mundo,Rageborn,12
Dr. Mundo,TPA,5
Dr. Mundo,Pool Party,18
Dr. Mundo,El Macho,5
Dr. Mundo,Frozen Prince,16
Draven,Classic,6
Draven,Soul Reaver,78
Draven,Gladiator,183
Draven,Primetime,25
Draven,Pool Party,5
Draven,Beast Hunter,4
Draven,Draven Draven,86
Draven,Santa,15
Draven,Mecha Kingdoms,20
Draven,Ruined,34
Draven,Debonair,28
Draven,Fright Night,74
Ekko,Classic,4
Ekko,Sandstorm,41
Ekko,Academy,2
Ekko,PROJECT,24
Ekko,SKT T1,19
Ekko,Trick or Treat,17
Ekko,True Damage,390
Ekko,Pulsefire,16
Ekko,Firelight,42
Ekko,Star Guardian,5
Ekko,Prestige Star Guardian,14
Elise,Classic,2
Elise,Death Blossom,40
Elise,Victorious,20
Elise,Blood Moon,60
Elise,SKT T1,1
Elise,Super Galaxy,31
Elise,Bewitching,87
Elise,Withered Rose,97
Evelynn,Classic,8
Evelynn,Shadow,22
Evelynn,Masquerade,12
Evelynn,Tango,23
Evelynn,Safecracker,2
Evelynn,Blood Moon,22
Evelynn,K/DA,13
Evelynn,Prestige K/DA,28
Evelynn,Sugar Rush,16
Evelynn,K/DA ALL OUT,78
Evelynn,Coven,226
Evelynn,Spirit Blossom,68
Ezreal,Classic,12
Ezreal,Nottingham,29
Ezreal,Striker,31
Ezreal,Frosted,67
Ezreal,Explorer,14
Ezreal,Pulsefire,62
Ezreal,TPA,21
Ezreal,Debonair,17
Ezreal,Ace of Spades,6
Ezreal,Arcade,24
Ezreal,Star Guardian,31
Ezreal,SSG,23
Ezreal,Pajama Guardian,38
Ezreal,Battle Academia,336
Ezreal,PsyOps,33
Ezreal,Prestige PsyOps,43
Ezreal,Porcelain Protector,109
Ezreal,Faerie Court,39
Fiddlesticks,Classic,15
Fiddlesticks,Spectral,8
Fiddlesticks,Union Jack,7
Fiddlesticks,Bandito,8
Fiddlesticks,Pumpkinhead,18
Fiddlesticks,Fiddle Me Timbers,5
Fiddlesticks,Surprise Party,243
Fiddlesticks,Dark Candy,13
Fiddlesticks,Risen,10
Fiddlesticks,Praetorian,18
Fiddlesticks,Star Nemesis,121
Fiora,Classic,2
Fiora,Royal Guard,2
Fiora,Nightraven,2
Fiora,Headmistress,30
Fiora,PROJECT,61
Fiora,Pool Party,50
Fiora,Soaring Sword,122
Fiora,Heartpiercer,5
Fiora,iG,125
Fiora,Pulsefire,5
Fiora,Lunar Beast,16
Fiora,Prestige Lunar Beast,37
Fiora,Bewitching,12
Fiora,Faerie Court,32
Fizz,Classic,1
Fizz,Atlantean,3
Fizz,Tundra,6
Fizz,Fisherman,107
Fizz,Void,40
Fizz,Cottontail,26
Fizz,Super Galaxy,19
Fizz,Omega Squad,22
Fizz,Fuzz Fizz,53
Fizz,Prestige Fuzz Fizz,33
Fizz,Little Devil,58
Fizz,Astronaut,15
Galio,Classic,9
Galio,Enchanted,17
Galio,Hextech,13
Galio,Commando,8
Galio,Gatekeeper,89
Galio,Debonair,3
Galio,Birdio,127
Galio,Infernal,26
Galio,Dragon Guardian,55
Galio,Mythmaker,20
Gangplank,Classic,5
Gangplank,Spooky,24
Gangplank,Minuteman,2
Gangplank,Sailor,6
Gangplank,Toy Soldier,22
Gangplank,Special Forces,106
Gangplank,Sultan,12
Gangplank,Captain,46
Gangplank,Dreadnova,41
Gangplank,Pool Party,76
Gangplank,FPX,25
Gangplank,Gangplank the Betrayer,165
Garen,Classic,5
Garen,Sanguine,1
Garen,Desert Trooper,2
Garen,Commando,16
Garen,Dreadknight,1
Garen,Rugged,24
Garen,Steel Legion,13
Garen,Rogue Admiral,4
Garen,Warring Kingdoms,21
Garen,God-King,218
Garen,Demacia Vice,73
Garen,Mecha Kingdoms,11
Garen,Prestige Mecha Kingdoms,9
Garen,Battle Academia,11
Garen,Mythmaker,13
Gnar,Classic,4
Gnar,Dino,53
Gnar,Gentleman,65
Gnar,Snow Day,30
Gnar,El León,4
Gnar,Super Galaxy,33
Gnar,SSG,21
Gnar,Astronaut,74
Gnar,Elderwood,80
Gragas,Classic,2
Gragas,Scuba,29
Gragas,Hillbilly,36
Gragas,Santa,19
Gragas,ESQ.,41
Gragas,Vandal,29
Gragas,Oktoberfest,68
Gragas,Superfan,3
Gragas,Fnatic,5
Gragas,Caskbreaker,16
Gragas,Arctic Ops,110
Gragas,Warden,19
Gragas,Space Groove,47
Graves,Classic,4
Graves,Hired Gun,2
Graves,Jailbreak,2
Graves,Crime City,205
Graves,Riot,12
Graves,Pool Party,58
Graves,Cutthroat,1
Graves,Snow Day,12
Graves,Victorious,6
Graves,Praetorian,22
Graves,Battle Professor,52
Graves,Sentinel,76
Graves,EDG,38
Gwen,Classic,144
Gwen,Space Groove,43
Gwen,Cafe Cuties,284
Hecarim,Classic,2
Hecarim,Blood Knight,3
Hecarim,Reaper,7
Hecarim,Headless,28
Hecarim,Arcade,110
Hecarim,Elderwood,98
Hecarim,Worldbreaker,5
Hecarim,Lancer Zero,28
Hecarim,High Noon,73
Hecarim,Cosmic Charger,36
Hecarim,Arcana,32
Heimerdinger,Classic,2
Heimerdinger,Alien Invader,26
Heimerdinger,Blast Zone,2
Heimerdinger,Piltover Customs,6
Heimerdinger,Snowmerdinger,12
Heimerdinger,Hazmat,11
Heimerdinger,Dragon Trainer,144
Heimerdinger,Pool Party,29
Heimerdinger,Heimerstinger,57
Illaoi,Classic,18
Illaoi,Void Bringer,9
Illaoi,Resistance,24
Illaoi,Cosmic Invoker,106
Illaoi,Snow Moon,140
Irelia,Classic,6
Irelia,Nightblade,13
Irelia,Aviator,30
Irelia,Infiltrator,12
Irelia,Frostblade,37
Irelia,Order of the Lotus,21
Irelia,Divine Sword,114
Irelia,iG,77
Irelia,PROJECT,14
Irelia,Prestige PROJECT,31
Irelia,High Noon,53
Irelia,Sentinel,86
Irelia,Mythmaker,196
Ivern,Classic,16
Ivern,Candy King,39
Ivern,Dunkmaster,67
Ivern,Old God,117
Ivern,Astronaut,24
Janna,Classic,3
Janna,Tempest,3
Janna,Hextech,4
Janna,Frost Queen,5
Janna,Victorious,11
Janna,Forecast,92
Janna,Fnatic,6
Janna,Star Guardian,16
Janna,Sacred Sword,57
Janna,Bewitching,55
Janna,Guardian of the Sands,5
Janna,Battle Queen,28
Janna,Crystal Rose,33
Janna,Cyber Halo,6
Janna,Prestige Cyber Halo,92
Jarvan IV,Classic,12
Jarvan IV,Commando,8
Jarvan IV,Dragonslayer,8
Jarvan IV,Darkforge,5
Jarvan IV,Victorious,17
Jarvan IV,Warring Kingdoms,88
Jarvan IV,Fnatic,22
Jarvan IV,Dark Star,98
Jarvan IV,SSG,14
Jarvan IV,Hextech,15
Jarvan IV,Pool Party,32
Jarvan IV,Lunar Beast,17
Jarvan IV,Worlds 2021,67
Jax,Classic,2
Jax,The Mighty,20
Jax,Vandal,3
Jax,Angler,50
Jax,PAX,29
Jax,Jaximus,10
Jax,Temple,15
Jax,Nemesis,10
Jax,SKT T1,7
Jax,Warden,1
Jax,God Staff,164
Jax,Mecha Kingdoms,115
Jax,Conqueror,4
Jax,Prestige Conqueror,8
Jax,Empyrean,34
Jayce,Classic,7
Jayce,Full Metal,27
Jayce,Debonair,22
Jayce,Forsaken,48
Jayce,Brighthammer,23
Jayce,Battle Academia,177
Jayce,Resistance,67
Jayce,Arcane,32
Jayce,Zenith Games,12
Jhin,Classic,14
Jhin,High Noon,116
Jhin,Blood Moon,60
Jhin,SKT T1,22
Jhin,PROJECT,98
Jhin,Dark Cosmic,457
Jhin,Shan Hai Scrolls,48
Jhin,DWG,48
Jhin,Empyrean,57
Jinx,Classic,3
Jinx,Crime City,25
Jinx,Firecracker,68
Jinx,Zombie Slayer,17
Jinx,Star Guardian,295
Jinx,Ambitious Elf,56
Jinx,Odyssey,44
Jinx,PROJECT,47
Jinx,Heartseeker,23
Jinx,Arcane,42
Jinx,Battle Cat,53
Jinx,Prestige Battle Cat,74
K'Sante,Classic,42
K'Sante,Empyrean,69
K'Sante,Prestige Empyrean,108
Kai'Sa,Classic,25
Kai'Sa,Bullet Angel,44
Kai'Sa,K/DA,48
Kai'Sa,Prestige K/DA,75
Kai'Sa,iG,323
Kai'Sa,Arcade,7
Kai'Sa,K/DA ALL OUT,50
Kai'Sa,Prestige K/DA ALL OUT,68
Kai'Sa,Lagoon Dragon,73
Kai'Sa,Star Guardian,235
Kalista,Classic,5
Kalista,Blood Moon,99
Kalista,Championship,26
Kalista,SKT T1,14
Kalista,Marauder,40
Kalista,Faerie Court,104
Karma,Classic,4
Karma,Sun Goddess,10
Karma,Sakura,3
Karma,Traditional,11
Karma,Order of the Lotus,12
Karma,Warden,2
Karma,Winter Wonder,14
Karma,Conqueror,8
Karma,Dark Star,50
Karma,Dawnbringer,33
Karma,Odyssey,6
Karma,Ruined,30
Karma,Tranquility Dragon,64
Karma,Faerie Queen,157
Karthus,Classic,6
Karthus,Phantom,8
Karthus,Statue of Karthus,19
Karthus,Grim Reaper,32
Karthus,Pentakill,22
Karthus,Fnatic,2
Karthus,Lightsbane,30
Karthus,Infernal,37
Karthus,Pentakill III: Lost Chapter,97
Kassadin,Classic,3
Kassadin,Festival,2
Kassadin,Deep One,3
Kassadin,Pre-Void,2
Kassadin,Harbinger,2
Kassadin,Cosmic Reaver,211
Kassadin,Count,31
Kassadin,Hextech,22
Kassadin,Shockblade,52
Katarina,Classic,4
Katarina,Mercenary,4
Katarina,Red Card,9
Katarina,Bilgewater,2
Katarina,Kitty Cat,18
Katarina,High Command,3
Katarina,Sandstorm,4
Katarina,Slay Belle,11
Katarina,Warring Kingdoms,12
Katarina,PROJECT,11
Katarina,Death Sworn,40
Katarina,Battle Academia,66
Katarina,Blood Moon,12
Katarina,Battle Queen,221
Katarina,High Noon,9
Katarina,Faerie Court,33
Katarina,Prestige Faerie Court,70
Kayle,Classic,1
Kayle,Silver,33
Kayle,Viridian,9
Kayle,Trascended,8
Kayle,Battleborn,4
Kayle,Judgment,30
Kayle,Aether Wing,66
Kayle,Riot,8
Kayle,Iron Inquisitor,32
Kayle,Pentakill,24
Kayle,PsyOps,56
Kayle,Dragonslayer,14
Kayle,Pentakill III: Lost Chapter,62
Kayle,Sun-Eater,82
Kayn,Classic,10
Kayn,Soulhunter,10
Kayn,Odyssey,173
Kayn,Nightbringer,30
